Study_id,Title,Year,Journal,DOI,Reference
01e519ebf2e145c1b12bfeb234c5010dada8c405,Quantifying euryhaline histories in red drum Sciaenops ocellatus: otolith chemistry and muscle isotope ratios.,2022,Journal of Fish Biology,10.1111/jfb.15173,"Walther, B. D., & Torrance, L. E. (2022). Quantifying euryhaline histories in red drum Sciaenops ocellatus: otolith chemistry and muscle isotope ratios. Journal of Fish Biology."
01e9226969a6e0c696c1b8841851d55336fcaa37,"Simultaneous use of strontium:calcium and barium:calcium ratios in otoliths as markers of habitat: application to the European eel (Anguilla anguilla) in the Adour basin, South West France.",2010,Marine Environmental Research,10.1016/j.marenvres.2010.02.006,"Tabouret, H.  Bareille, G.  Claverie, F.  Pecheyran, C.  Prouzet, P.  & Donard, O. F. X. (2010). Simultaneous use of strontium: calcium and barium: calcium ratios in otoliths as markers of habitat: application to the European eel (Anguilla anguilla) in the Adour basin, South West France. Marine Environmental Research, 70(1), 35-45."
020cde266b9cf6e2b66fa613df8d2356b851a73c,"Application of otolith Sr: Ca ratios to estimate the migratory history of masu salmon,Oncorhynchus masou",1998,Ichthyological Research,10.1007/BF02673929,"Arai, T.  & Tsukamoto, K. (1998). Application of otolith Sr: Ca ratios to estimate the migratory history of masu salmon, Oncorhynchus masou. Ichthyological Research, 45(3), 309-313."
021ee1a92973d1c485909facdad10ea3a4f36283,Isotopes and genes reveal freshwater origins of Chinook salmon Oncorhynchus tshawytscha aggregations in California's coastal ocean,2016,Marine Ecology Progress Series,10.3354/MEPS11623,"Johnson, R. C.  Garza, J. C.  MacFarlane, R. B.  Grimes, C. B.  Phillis, C. C.  Koch, P. L.  . . & Carr, M. H. (2016). Isotopes and genes reveal freshwater origins of Chinook salmon Oncorhynchus tshawytscha aggregations in California's coastal ocean. Marine Ecology Progress Series, 548, 181-196."
0237a51977a1930ae29bfcb5b97cd1de043c51d3,"Chemical signatures in the otoliths of a coastal marine fish, menidia menidia, from the northeastern united states: spatial and temporal differences",2009,Marine Ecology Progress Series,10.3354/MEPS07927,"Clarke, L. M.  Walther, B. D.  Munch, S. B.  Thorrold, S. R.  & Conover, D. O. (2009). Chemical signatures in the otoliths of a coastal marine fish, Menidia menidia, from the northeastern United States: spatial and temporal differences. Marine Ecology Progress Series, 384, 261-271."
026d29c70dfdb6e3c76f4574799a2c0ffe619c3f,Combining otolith elemental signatures with multivariate analytical models to verify the migratory pattern of Japanese Spanish mackerel (Scomberomorus niphonius) in the southern Yellow Sea,2020,Acta Oceanologica Sinica,10.1007/s13131-020-1606-0,"Pan, X.  Zhang, C.  Ye, Z.  Xu, B.  Li, J.  Liu, Y.  . . & Tian, Y. (2019). Trace elements in the otoliths of the Japanese Spanish mackerel (Scomberomorus niphonius) in the southern Yellow Sea. Journal of Fisheries of China, 43(4), 907-916."
029b534798a77d2971479d339f8fadae2cc1d7a5,How to obtain clues from the otoliths of an adult fish about the aquatic environment it has been in as a larva,1992,Comparative Biochemistry and Physiology Part A: Physiology,10.1016/0300-9629(92)90590-M,"Meyer-Rochow, V. B.  Cook, I.  & Hendy, C. H. (1992). How to obtain clues from the otoliths of an adult fish about the aquatic environment it has been in as a larva. Comparative Biochemistry and Physiology Part A: Physiology, 103(2), 333-335."
02f8dc4a0a3067222328c9a79f963c263af93974,Early life history of Lake Michigan alewives (Alosa pseudoharengus) inferred from intra-otolith stable isotope ratios,2005,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/F05-147,"Dufour, E., Patterson, W. P., Hook, T. O., & Rutherford, E. S. (2005). Early life history of Lake Michigan alewives (Alosa pseudoharengus) inferred from intra-otolith stable isotope ratios. Canadian Journal of Fisheries and Aquatic Sciences, 62(10), 2362-2370."
032f819b286fdd6d56e13065970335db35cabf10,Using otolith chemical and structural analysis to investigate reservoir habitat use by juvenile Chinook salmon Oncorhynchus tshawytscha.,2014,Journal of Fish Biology,10.1111/jfb.12505,"Bourret, S. L.  Kennedy, B. P.  Caudill, C. C.  & Chittaro, P. M. (2014). Using otolith chemical and structural analysis to investigate reservoir habitat use by juvenile Chinook salmon Oncorhynchus tshawytscha. Journal of Fish Biology, 85(5), 1507-1525."
03585e7c10958aaf30517ee7f9fa5737f4b79a67,Temporal stability and rates of post-depositional change in geochemical signatures of brown trout Salmo trutta scales.,2016,Journal of Fish Biology,10.1111/jfb.13081,"Ryan, D.  Shephard, S.  & Kelly, F. L. (2016). Temporal stability and rates of post-depositional change in geochemical signatures of brown trout Salmo trutta scales. Journal of Fish Biology, 89(3), 1704-1719."
03782acd26e7905aab8f0f5a63effabe482ef2fc,Validating fin tissue as a non-lethal proxy to liver and muscle tissue for stable isotope analysis of yellow perch (Perca flavescens),2018,Isotopes in Environmental and Health Studies,10.1080/10256016.2017.1391242,"McCloskey, M., Yurkowski, D. J., & Semeniuk, C. A. (2018). Validating fin tissue as a non-lethal proxy to liver and muscle tissue for stable isotope analysis of yellow perch (Perca flavescens). Isotopes in Environmental and Health Studies, 54(2), 196-208."
038000afac3e3d7fd9c4852d227f7c6def151509,Variation in otolith strontium and calcium ratios as an indicator of life-history strategies of freshwater fish species within a brackish water system,2000,Fisheries Research,10.1016/S0165-7836(00)00156-9,"Kafemann, R.  Adlerstein, S.  & Neukamm, R. (2000). Variation in otolith strontium and calcium ratios as an indicator of life-history strategies of freshwater fish species within a brackish water system. Fisheries Research, 46(1-3), 313-325."
0399e14cf871ad43d7151609fd1e3148da9cf574,"Assessment of Native Fish Passage through Brandon Road Lock and Dam, Des Plaines River, Illinois, Using Fin Ray Microchemistry",2022,Transactions of the American Fisheries Society,10.1002/tafs.10345,"Snyder, C. E., Oliver, D. C., Knights, B. C., Pescitelli, S. M., & Whitledge, G. W. (2022). Assessment of Native Fish Passage through Brandon Road Lock and Dam, Des Plaines River, Illinois, Using Fin Ray Microchemistry. Transactions of the American Fisheries Society, 151(2), 172-184."
03df10f4c723272bd505a4e11da9de5f3ac502f4,Stock structure of the southern bluefin tuna Thunnus maccoyii: an investigation based on probe microanalysis of otolith composition,1995,Marine Biology,10.1007/BF00350674,"Proctor, C. H.  Thresher, R. E.  Gunn, J. S.  Mills, D. J.  Harrowfield, I. R.  & Sie, S. H. (1995). Stock structure of the southern bluefin tuna Thunnus maccoyii: an investigation based on probe microanalysis of otolith composition. Marine Biology, 122(4), 511-526."
0427661617a0808cbfea9fc022c8cc81d708077b,"Movement Patterns of American Eels in an Impounded Watercourse, as Indicated by Otolith Microchemistry",2004,North American Journal of Fisheries Management,10.1577/M03-054.1,"Cairns, D. K.  Shiao, J. C.  Iizuka, Y.  Tzeng, W. N.  & MacPherson, C. D. (2004). Movement patterns of American eels in an impounded watercourse, as indicated by otolith microchemistry. North American Journal of Fisheries Management, 24(2), 452-458."
04efd642d27915bb9165a77eae7e1d093bb9e650,Role of estuarine habitats for the feeding ecology of the European eel (Anguilla anguilla L.),2022,PLoS ONE,10.1371/journal.pone.0270348,"Denis, J., Rabhi, K., Le Loc°Øh, F., Ben Rais Lasram, F., Boutin, K., Kazour, M., ... & Amara, R. (2022). Role of estuarine habitats for the feeding ecology of the European eel (Anguilla anguilla L.). Plos one, 17(7), e0270348."
05710ac0368b89c6bf3fdf4a12170dd3375e00b1,The use of otolith shape and chemistry to determine stock structure of Mediterranean horse mackerel Trachurus mediterraneus (Steindachner),2006,Journal of Fish Biology,10.1111/J.1095-8649.2006.01266.X,"Turan, C. (2006). The use of otolith shape and chemistry to determine stock structure of Mediterranean horse mackerel Trachurus mediterraneus (Steindachner). Journal of Fish Biology, 69, 165-180."
05cc622413b50ef126c427479b6ca123c59bea81,"Sr/Ca, Mg/Ca and Ba/Ca Ratios in the Otolith of Sea Bass in Peninsular Malaysia as salinity influence markers",2014,Sains Malaysiana,NA,"Sarimin, A. S.  & Mohamed, C. A. R. (2014). Sr/Ca, Mg/Ca and Ba/Ca ratios in the otolith of sea bass in Peninsular Malaysia as salinity influence markers. Sains Malaysiana, 43(5), 757-766."
06676623e9793127b26add5a88210d0689b78fc7,"A proton microprobe scanning across the vertebra of a flat fish,Paralichthys olivaceus",1987,Biological Trace Element Research,10.1007/BF02796628,"Ishikawa, M.  Ishii, T.  Uchida, S.  & Kitao, K. (1987). A proton microprobe scanning across the vertebra of a flat fish, Paralichthys olivaceus. Biological Trace Element Research, 13(1), 143-157."
06a22760b39241cdfa0ef7a1bce77c95183404fe,Discrimination of nursery locations of juvenile Japanese flounder Paralichthys olivaceus on the Pacific coast of northern Japan based on carbon and nitrogen stable isotope ratios,2020,Fisheries Science,10.1007/s12562-020-01436-y,"Kato, Y.  Togashi, H.  Kurita, Y.  Kamauchi, H.  & Tayasu, I. (2020). Discrimination of nursery locations of juvenile Japanese flounder Paralichthys olivaceus on the Pacific coast of northern Japan based on carbon and nitrogen stable isotope ratios. Fisheries science, 86(4), 615-623."
06fc9cbd9d7ccecc6ea079518f144259d1b70254,Stable isotopic comparison in otoliths of juvenile sablefish (Anoplopoma fimbria) from waters off the Washington and Oregon coast,2004,Fisheries Research,10.1016/J.FISHRES.2003.11.002,"Gao, Y.  Joner, S. H.  Svec, R. A.  & Weinberg, K. L. (2004). Stable isotopic comparison in otoliths of juvenile sablefish (Anoplopoma fimbria) from waters off the Washington and Oregon coast. Fisheries Research, 68(1-3), 351-360."
0819924e8946083a1f33b7c59341920c09b2efac,Geographic Variation in Trace Element Composition of Juvenile Weakfish Scales,2000,Transactions of The American Fisheries Society,10.1577/1548-8659(2000)129<0889:GVITEC>2.3.CO;2,"Wells, B. K.  Thorrold, S. R.  & Jones, C. M. (2000). Geographic variation in trace element composition of juvenile weakfish scales. Transactions of the American Fisheries Society, 129(4), 889-900."
081fdc700d2e47ceb65aa117cedff1278df80641,Differential growth in estuarine and freshwater habitats indicated by plasma IGF1 concentrations and otolith chemistry in Dolly Varden Salvelinus malma.,2014,Journal of Fish Biology,10.1111/jfb.12493,"Bond, M. H.  Beckman, B. R.  Rohrbach, L.  & Quinn, T. P. (2014). Differential growth in estuarine and freshwater habitats indicated by plasma IGF1 concentrations and otolith chemistry in Dolly Varden Salvelinus malma. Journal of Fish Biology, 85(5), 1429-1445."
083f320f1222ee25fda8c240db590a70e85548c8,Trace element accumulation in anadromous sea lamprey spawners,2014,Ecology of Freshwater Fish,10.1111/EFF.12052,"Pedro, S., Cacador, I., Quintella, B. R., Lanca, M. J., & Almeida, P. R. (2014). Trace element accumulation in anadromous sea lamprey spawners. Ecology of Freshwater Fish, 23(2), 193-207."
08ffb9fd65f9d84924a83f5b5acb943c6ad6ecf2,Thermal habitat segregation among morphotypes of whitefish (Coregonus lavaretus: Salmonidae) and invasive vendace (C. albula): a mechanism for co-existence,2015,Freshwater Biology,10.1111/FWB.12660,"Kelly, B., Amundsen, P. A., & Power, M. (2015). Thermal habitat segregation among morphotypes of whitefish (Coregonus lavaretus: Salmonidae) and invasive vendace (C. albula): a mechanism for co-existence. Freshwater Biology, 60(11), 2337-2348."
09274e9d6a211ab437c8d2b20819f13c5845e9c1,Differential habitat use patterns of yellow perch Perca flavescens in eastern Lake Michigan and connected drowned river mouth lakes,2020,Journal of Great Lakes Research,10.1016/j.jglr.2020.06.021,"Senegal, T. J., Ruetz III, C. R., Chorak, G. M., Janetski, D. J., Clapp, D. F., Bowen, G. J., & Hook, T. O. (2020). Differential habitat use patterns of yellow perch Perca flavescens in eastern Lake Michigan and connected drowned river mouth lakes. Journal of Great Lakes Research, 46(5), 1412-1422."
0947a807dae17fb2ffe1470779730942a8dbd73c,"Developing baseline data to understand environmental change: A geochemical study of archaeological otoliths from the Coorong, South Australia",2011,Journal of Archaeological Science,10.1016/J.JAS.2011.03.027,"Disspain, M.  Wallis, L. A.  & Gillanders, B. M. (2011). Developing baseline data to understand environmental change: a geochemical study of archaeological otoliths from the Coorong, South Australia. Journal of Archaeological Science, 38(8), 1842-1857."
0956daf5d44014977910fcce176d61464fb99b6a,"Distribution, Feeding Habits, and Growth of Chub Mackerel, Scomber japonicus, Larvae During a High-Stock Period in the Northern Satsunan Area, Southern Japan",2021,Frontiers in Marine Science,10.3389/fmars.2021.725227,"Kume, G.  Shigemura, T.  Okanishi, M.  Hirai, J.  Shiozaki, K.  Ichinomiya, M.  . . & Kobari, T. (2021). Distribution, Feeding Habits, and Growth of Chub Mackerel, Scomber japonicus, Larvae During a High-Stock Period in the Northern Satsunan Area, Southern Japan. Frontiers in Marine Science, 1445."
097b26c40568f682c721930a71e3c24245017549,"New insights into the trophic ecology of young white sharks (Carcharodon carcharias) in waters off the Baja California Peninsula, Mexico",2020,Marine Biology,10.1007/s00227-020-3660-8,"Tamburin, E., Elorriaga-Verplancken, F. R., Estupinan-Montano, C., Madigan, D. J., Sanchez-Gonzalez, A., Padilla, M. H., ... & Galvan-Magana, F. (2020). New insights into the trophic ecology of young white sharks (Carcharodon carcharias) in waters off the Baja California Peninsula, Mexico. Marine Biology, 167, 1-14."
09a1be96f7046ffb0741894c119fb34763abb09d,Natural tags reveal populations of Conservation Dependent school shark use different pupping areas,2018,Marine Ecology Progress Series,10.3354/MEPS12626,"McMillan, M. N., Huveneers, C., Semmens, J. M., & Gillanders, B. M. (2018). Natural tags reveal populations of Conservation Dependent school shark use different pupping areas. Marine Ecology Progress Series, 599, 147-156."
09b5353c7e2ae2f55fa1b6439e0ef538851b6ebf,"Isotopic and geochemical characterization of invader tilapia fishes from water bodies of West Bengal and Karnataka, India",2015,Environmental Monitoring and Assessment,10.1007/s10661-015-4929-0,"Chatterjee, M.  Ghosh, P.  Ramdas, L.  & Chakrabarti, R. (2015). Isotopic and geochemical characterization of invader tilapia fishes from water bodies of West Bengal and Karnataka, India. Environmental monitoring and assessment, 187(11), 1-12."
09ec5797ee6419e336f22fe8dfdf69e548be48de,Discriminating estuarine nurseries for five fish species through otolith elemental fingerprints,2007,Marine Ecology Progress Series,10.3354/MEPS07109,"Vasconcelos, R. P.  Reis-Santos, P.  Tanner, S.  Fonseca, V.  Latkoczy, C.  Gunther, D.  . . & Cabral, H. (2007). Discriminating estuarine nurseries for five fish species through otolith elemental fingerprints. Marine Ecology Progress Series, 350, 117-126."
0a0e1ab010df138db47184df34a1b94258a73741,Using stable isotopes analysis to understand ontogenetic trophic variations of the scalloped hammerhead shark at the Galapagos Marine Reserve,2022,PLoS ONE,10.1371/journal.pone.0268736,"Cerutti-Pereyra, F., Salinas-De-Leon, P., Arnes-Urgelles, C., Suarez-Moncada, J., Espinoza, E., Vaca, L., & Paez-Rosas, D. (2022). Using stable isotopes analysis to understand ontogenetic trophic variations of the scalloped hammerhead shark at the Galapagos Marine Reserve. Plos one, 17(6), e0268736."
0a22d54d93f14dc95b500402e33cb286b9664d0e,"Use of otolith microchemistry and stable isotopes to investigate the ecology and anadromous migrations of Northern Dolly Varden from the Egegik River, Bristol Bay, Alaska",2015,Environmental Biology of Fishes,10.1007/s10641-015-0389-1,"Hart, L. M.  Bond, M. H.  May-McNally, S. L.  Miller, J. A.  & Quinn, T. P. (2015). Use of otolith microchemistry and stable isotopes to investigate the ecology and anadromous migrations of Northern Dolly Varden from the Egegik River, Bristol Bay, Alaska. Environmental Biology of Fishes, 98(6), 1633-1643."
0a2959da45230aba65134b11c169751118ecbfc2,Discrimination of wild and cultured european sea bass (Dicentrarchus labrax) using chemical and isotopic analyses.,2007,Journal of agricultural and food chemistry,10.1021/JF0704561,"Bell, J. G.  Preston, T.  Henderson, R. J.  Strachan, F.  Bron, J. E.  Cooper, K.  & Morrison, D. J. (2007). Discrimination of wild and cultured European sea bass (Dicentrarchus labrax) using chemical and isotopic analyses. Journal of Agricultural and Food Chemistry, 55(15), 5934-5941."
0ab75aaf9c0cac12a85a2c399b586547fab7f594,Endangered winter-run Chinook salmon rely on diverse rearing habitats in a highly altered landscape,2018,Biological Conservation,10.1016/J.BIOCON.2017.10.023,"Phillis, C. C., Sturrock, A. M., Johnson, R. C., & Weber, P. K. (2018). Endangered winter-run Chinook salmon rely on diverse rearing habitats in a highly altered landscape. Biological Conservation, 217, 358-362."
0b3aff360f1f730cea5c2955a50dbf6d79137391,Trans-Amazonian natal homing in giant catfish,2016,Journal of Applied Ecology,10.1111/1365-2664.12665,"Duponchelle, F., Pouilly, M., Pecheyran, C., Hauser, M., Renno, J. F., Panfili, J., ... & Baras, E. (2016). Trans-Amazonian natal homing in giant catfish. Journal of Applied Ecology, 53(5), 1511-1520."
0b8ae89016f8751d91ee5279d2575b3a6475a743,Natal origin and age-specific egress of Pacific bluefin tuna from coastal nurseries revealed with geochemical markers,2021,Scientific Reports,10.1038/s41598-021-93298-2,"Rooker, J. R.  Wells, R. J.  Block, B. A.  Liu, H.  Baumann, H.  Chiang, W. C.  . . & Shiao, J. C. (2021). Natal origin and age-specific egress of Pacific bluefin tuna from coastal nurseries revealed with geochemical markers. Scientific Reports, 11(1), 1-13."
0bc0e3d24e292d93b1a6354d5206b18f1f197019,Connectivity of a large embayment and coastal fishery: spawning aggregations in one bay source local and broad-scale fishery replenishment.,2011,Journal of Fish Biology,10.1111/j.1095-8649.2011.02921.x,"Hamer, P. A.  Acevedo, S.  Jenkins, G. P.  & Newman, A. (2011). Connectivity of a large embayment and coastal fishery: spawning aggregations in one bay source local and broad-scale fishery replenishment. Journal of Fish Biology, 78(4), 1090-1109."
0bcc861e0980f5c5553c1a5ed61af2ed79388c9d,Validation of otolith d18O values as effective natural tags for shelf-scale geolocation of migrating fish,2017,Marine Ecology Progress Series,10.3354/MEPS12302,"Darnaude, A. M.  & Hunter, E. (2018). Validation of otolith d18O values as effective natural tags for shelf-scale geolocation of migrating fish. Marine Ecology Progress Series, 598, 167-185."
0be39a9ac66cae3befefe62801b1e0b5b21af4ff,Large scale-variability in otolith microstructure and microchemistry: The case study of Diplodus sargus sargus (Pisces: Sparidae) in the Mediterranean Sea,2011,Italian Journal of Zoology,10.1080/11250003.2011.566227,"Di Franco, A.  De Benedetto, G.  De Rinaldis, G.  Raventos, N.  Sahyoun, R.  & Guidetti, P. (2011). Large scale-variability in otolith microstructure and microchemistry: the case study of Diplodus sargus sargus (Pisces: Sparidae) in the Mediterranean Sea. Italian Journal of Zoology, 78(2), 182-192."
0c214b8c82c62d5123a5b899ca83ecfb0cb448fe,A Preliminary Otolith Microchemical Examination of the Diadromous Migrations of Atlantic Tarpon Megalops atlanticus,2007,"CRC Series on Marine Biology, Boca Raton, Florida",10.1201/9781420004250.CH17,"Brown, R. J., & Severin, K. P. (2008). A preliminary otolith microchemical examination of the diadromous migrations of Atlantic tarpon Megalops atlanticus. Biology and Management of the World Tarpon and Bonefish Fisheries. Taylor and Francis Group. CRC Series on Marine Biology, Boca Raton, Florida, 259-274."
0c61d32b49bc49ecf0313bb12be813a1cc5a442a,Complex life histories discovered in a critically endangered fish,2019,Scientific Reports,10.1038/s41598-019-52273-8,"Hobbs, J. A.  Lewis, L. S.  Willmes, M.  Denney, C.  & Bush, E. (2019). Complex life histories discovered in a critically endangered fish. Scientific Reports, 9(1), 1-12."
0c6d48a6654b60f8e6b5ec9c57ad6b16e6fbe2c0,"Occurrence of estuarine and sea eels Anguilla japonica and a migrating silver eel Anguilla anguilla in the Tokyo Bay area, Japan",2009,Fisheries Science,10.1007/s12562-009-0153-6,"Arai, T.  Chino, N.  & Kotake, A. (2009). Occurrence of estuarine and sea eels Anguilla japonica and a migrating silver eel Anguilla anguilla in the Tokyo Bay area, Japan. Fisheries Science, 75(5), 1197-1203."
0cf05a43828543b3888f0eb9023c3cf6da98eda1,Identification of the nutritional resources of larval sea lamprey in two Great Lakes tributaries using stable isotopes,2016,Journal of Great Lakes Research,10.1016/J.JGLR.2015.11.010,"Evans, T. M., & Bauer, J. E. (2016). Identification of the nutritional resources of larval sea lamprey in two Great Lakes tributaries using stable isotopes. Journal of Great Lakes Research, 42(1), 99-107."
0db101c517448a703eb7aa3c4f0ed8ea8a305192,"Juvenile fish habitat across the inner Danish waters: Using otolith chemistry to discriminate between hybridising con-familials and contiguous, coastal habitat",2019,"Estuarine, Coastal and Shelf Science",10.1016/J.ECSS.2019.02.025,"Brown, E. J.  Reis-Santos, P.  Gillanders, B. M.  & Stottrup, J. G. (2019). Juvenile fish habitat across the inner Danish waters: using otolith chemistry to discriminate between hybridising con-familials and contiguous, coastal habitat. Estuarine, Coastal and Shelf Science, 220, 111-119."
0edcba1ae2bfe611ee4b24b1af980a3aac1c7310,Effect of sample preparation techniques for carbon and nitrogen stable isotope analysis of hydroxyapatite structures in the form of elasmobranch vertebral centra.,2014,Rapid communications in mass spectrometry : RCM,10.1002/rcm.6801,"Christiansen, H. M., Hussey, N. E., Wintner, S. P., Cliff, G., Dudley, S. F., & Fisk, A. T. (2014). Effect of sample preparation techniques for carbon and nitrogen stable isotope analysis of hydroxyapatite structures in the form of elasmobranch vertebral centra. Rapid Communications in Mass Spectrometry, 28(5), 448-456."
0f18a8183b6fd688b3c2cdec2c7e6f74b0988b71,Using energy dispersive x-ray fluorescence microchemistry to infer migratory life history of Atlantic sturgeon,2012,Environmental Biology of Fishes,10.1007/s10641-012-9979-3,"Balazik, M. T.  McIninch, S. P.  Garman, G. C.  Fine, M. L.  & Smith, C. B. (2012). Using energy dispersive x-ray fluorescence microchemistry to infer migratory life history of Atlantic sturgeon. Environmental biology of fishes, 95(2), 191-194."
0f67fc5a49dd6b26664c372ac72a1e144c0578e6,"Otolith microchemistry and acoustic telemetry reveal anadromy in non-native rainbow trout (Oncorhynchus mykiss) in Prince Edward Island, Canada",2020,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/cjfas-2019-0229,"Roloson, S. D.  Landsman, S. J.  Tana, R.  Hicks, B. J.  Carr, J. W.  Whoriskey, F.  & van den Heuvel, M. R. (2020). Otolith microchemistry and acoustic telemetry reveal anadromy in non-native rainbow trout (Oncorhynchus mykiss) in Prince Edward Island, Canada. Canadian Journal of Fisheries and Aquatic Sciences, 77(7), 1117-1130."
0fb972974267a480070ca2670e23792266d03732,"Morphometric and stable isotope analysis of archaeological Totoaba macdonaldi otoliths, Baja California, Mexico",2021,Quaternary International,10.1016/J.QUAINT.2021.03.037,"Ainis, A. F., Porcayo-Michelini, A., Vellanoweth, R. L., & Guia-Ram®™rez, A. (2021). Morphometric and stable isotope analysis of archaeological Totoaba macdonaldi otoliths, Baja California, Mexico. Quaternary International, 595, 98-117."
0fb9909b58ea896721c6d7bdadc18ea3be6c1cde,Feeding grounds of juvenile scalloped hammerhead sharks (Sphyrna lewini) in the south-eastern Gulf of California,2014,Hydrobiologia,10.1007/s10750-013-1753-9,"Rojas, Y. E. T., Osuna, F. P., Herrera, A. H., Magana, F. G., Garcia, S. A., Villalobos Ortiz, H., & Sampson, L. (2014). Feeding grounds of juvenile scalloped hammerhead sharks (Sphyrna lewini) in the south-eastern Gulf of California. Hydrobiologia, 726, 81-94."
